//	NpcEmotes.cfg
//	Paradigm Shift
//	NPC	Atk	Blk	Die	Delay
npcID = 2881	2853	2852	2856	20
npcID = 2060	2102	2090	2088	20
npcID = 2025	429	430	2304	20
npcID = 1643	429	430	2304	20
npcID = 2882	2853	2852	2856	20
npcID = 2883	2853	2852	2856	20
npcID = 9	412	403	836	20
npcID = 41	55	56	57	13
npcID = 42	250	251	253	10
npcID = 43	250	251	253	10
npcID = 44	7	8	9	10
npcID = 45	7	8	9	10
npcID = 46	7	8	9	10
npcID = 47	2705	2706	2707	10
npcID = 48	55	56	57	10
npcID = 49	158	159	161	10
npcID = 50	91	89	92	20
npcID = 51	25	26	28	15
npcID = 52	25	26	28	15
npcID = 53	91	89	92	15
npcID = 54	91	89	92	15
npcID = 55	91	89	92	15
npcID = 56	94	95	97	15
npcID = 57	110	111	113	12
npcID = 58	143	144	146	15
npcID = 59	143	144	146	15
npcID = 60	143	144	146	15
npcID = 61	280	279	273	10
npcID = 62	143	147	146	15
npcID = 63	143	147	146	15
npcID = 64	143	147	146	15
npcID = 65	192	194	196	10
npcID = 66	190	193	196	15
npcID = 67	190	193	196	15
npcID = 68	190	193	196	15
npcID = 72	284	285	287	15
npcID = 73	299	300	302	15
npcID = 74	299	300	302	15
npcID = 75	299	300	302	15
npcID = 76	299	300	302	15
npcID = 77	299	300	302	15
npcID = 78	30	31	36	15
npcID = 79	30	31	36	15
npcID = 81	59	60	62	15
npcID = 82	64	65	67	20
npcID = 83	64	65	67	20
npcID = 84	64	65	67	20
npcID = 85	153	154	156	20
npcID = 86	138	139	141	15
npcID = 87	138	139	141	15
npcID = 88	138	139	141	15
npcID = 89	289	290	292	15
npcID = 90	260	261	263	15
npcID = 91	260	261	263	15
npcID = 92	260	261	263	15
npcID = 93	260	261	263	15
npcID = 95	75	76	78	15
npcID = 96	75	76	78	15
npcID = 97	75	76	78	15
npcID = 98	75	76	78	15
npcID = 99	75	76	78	15
npcID = 100	309	312	313	15
npcID = 101	309	312	313	15
npcID = 102	309	312	313	15
npcID = 103	123	124	126	15
npcID = 104	123	124	126	15
npcID = 105	41	42	44	15
npcID = 106	41	42	44	15
npcID = 107	246	247	248	15
npcID = 108	246	247	248	15
npcID = 109	270	271	273	15
npcID = 110	128	129	131	20
npcID = 111	128	129	131	20
npcID = 112	128	129	131	20
npcID = 113	128	129	131	20
npcID = 114	359	360	361	20
npcID = 115	359	360	361	20
npcID = 116	128	129	131	20
npcID = 117	128	129	131	20
npcID = 118	99	100	102	15
npcID = 119	99	100	102	15
npcID = 120	99	100	102	15
npcID = 121	99	100	102	15
npcID = 122	164	165	167	15
npcID = 123	163	165	167	15
//npcID = 124	<earth warrior, has a mace>
//npcID = 125	<ice warrior, has a sword>
npcID = 127	185	186	188	15
npcID = 128	275	276	278	15
npcID = 129	255	256	258	15
npcID = 130	294	295	297	20
npcID = 131	237	234	236	15
npcID = 132	220	221	223	15
npcID = 133	289	290	292	15
npcID = 134	143	147	146	15
npcID = 136	322	323	325	15
npcID = 137	327	329	331	15
npcID = 138	328	329	331	15
npcID = 139	115	116	118	15
npcID = 140	338	339	340	15
npcID = 141	75	76	78	15
npcID = 142	75	76	78	15
npcID = 143	75	76	78	15
npcID = 144	246	247	248	15
//npcID = 145			843	15
npcID = 146	344	345	343	15
npcID = 147	344	345	343	15
npcID = 148	344	345	343	15
npcID = 149	344	345	343	15
npcID = 150	344	345	343	15
//npcID = 159	<transparent, has b-axe>
